,listing_id,title,make,model,type_of_vehicle,category,transmission,fuel_type
0,1030324,BMW 3 Series 320i Gran Turismo M-Sport,bmw,320i,luxury sedan,"parf car, premium ad car, low mileage car",auto,unknown
1,1021510,Toyota Hiace 3.0M,undetermined,hiace,van,premium ad car,manual,diesel
2,1026909,Mercedes-Benz CLA-Class CLA180,mercedes-benz,cla180,luxury sedan,"parf car, premium ad car",auto,unknown
3,1019371,Mercedes-Benz E-Class E180 Avantgarde,mercedes-benz,e180,luxury sedan,"parf car, almost new car, consignment car",auto,unknown
4,1031014,Honda Civic 1.6A VTi,undetermined,civic,mid-sized sedan,parf car,auto,unknown
5,1027957,Mercedes-Benz A-Class A35 AMG 4MATIC Premium Plus,mercedes-benz,a35,sports car,"imported used vehicle, coe car",auto,unknown
6,1012998,Volvo V40 T2,volvo,v40,hatchback,"parf car, premium ad car",auto,unknown
7,1011676,Mercedes-Benz GLC-Class GLC63 S AMG 4MATIC+,mercedes-benz,amg,suv,"imported used vehicle, parf car, rare & exotic, almost new car",auto,unknown
8,991798,Toyota Corolla Altis 1.6A ,undetermined,corolla,mid-sized sedan,"coe car, premium ad car",auto,unknown
9,985245,BMW 3 Series 318i Sport,bmw,318i,luxury sedan,parf car,auto,unknown
10,1004029,Kia Cerato K3 1.6A,kia,cerato,mid-sized sedan,parf car,auto,unknown
11,1027570,Honda City 1.5A LX i-VTEC ,honda,city,mid-sized sedan,"coe car, low mileage car",auto,unknown
12,983829,Hyundai Avante 1.6A GLS Elite,undetermined,avante,mid-sized sedan,parf car,auto,unknown
13,1021049,Mercedes-Benz AMG GT R Pro,undetermined,amg,sports car,"parf car, rare & exotic, almost new car, low mileage car",auto,unknown
14,1020443,Nissan Cabstar,nissan,cabstar,truck,direct owner sale,manual,diesel
15,1026971,Toyota Estima 2.4A Aeras ,toyota,estima,mpv,"coe car, premium ad car",auto,unknown
16,1028186,Mazda 3 1.5A,mazda,3,mid-sized sedan,"parf car, premium ad car",auto,unknown
17,1029277,Toyota Alphard 2.5A Elegance Sunroof,toyota,alphard,mpv,parf car,auto,unknown
18,961740,Ferrari 575M Maranello ,ferrari,575m,sports car,"coe car, rare & exotic, low mileage car",auto,unknown
19,1018033,Nissan NV200 1.5M,nissan,nv200,van,-,manual,diesel
20,1016319,Volkswagen Scirocco 2.0A TSI Sunroof ,volkswagen,scirocco,sports car,"coe car, premium ad car, low mileage car",auto,unknown
21,1023603,Jaguar XF 3.0A Luxury ,jaguar,xf,luxury sedan,"coe car, premium ad car",auto,unknown
